order_id,order_date,sales_qty,sales_amount,restaurant_id,order_status,table_no,order_type,customer_name,customer_address,customer_phone,courier_id
1,"2025-12-02 00:00:00",7,1255,567335,completed,8,Dine-in,NULL,NULL,NULL,NULL
2,"2025-12-21 19:36:34",9,895,531342,pending,11,Dine-in,NULL,NULL,NULL,NULL
3,"2025-11-27 17:44:02",9,1097,158203,canceled,13,Dine-in,NULL,NULL,NULL,NULL
4,"2025-11-30 19:50:30",8,1860,187912,canceled,5,Dine-in,NULL,NULL,NULL,NULL
5,"2025-11-24 12:00:23",6,1480,543530,completed,16,Dine-in,NULL,NULL,NULL,NULL
6,"2025-12-28 00:00:00",10,1539,158204,pending,5,Dine-in,,,,NULL
7,"2025-11-26 14:30:57",6,667,156588,canceled,12,Dine-in,NULL,NULL,NULL,NULL
8,"2025-12-18 19:03:32",3,252,244866,pending,8,Dine-in,NULL,NULL,NULL,NULL
9,"2025-12-20 17:44:50",10,880,156602,pending,8,Dine-in,NULL,NULL,NULL,NULL
10,"2025-12-09 21:33:36",6,295,158193,pending,16,Dine-in,NULL,NULL,NULL,NULL
11,"2025-12-10 20:33:27",5,533,407249,completed,15,Dine-in,NULL,NULL,NULL,NULL
12,"2025-12-12 16:06:29",3,210,156590,pending,14,Dine-in,NULL,NULL,NULL,NULL
13,"2025-12-17 20:52:04",7,1433,338749,completed,10,Dine-in,NULL,NULL,NULL,NULL
14,"2025-12-03 10:00:55",1,50,156601,completed,12,Dine-in,NULL,NULL,NULL,NULL
15,"2025-12-08 13:28:22",7,1020,156587,completed,3,Dine-in,NULL,NULL,NULL,NULL
16,"2025-11-22 15:19:05",10,1020,158192,pending,9,Dine-in,NULL,NULL,NULL,NULL
17,"2025-12-08 14:10:20",5,475,394554,pending,8,Dine-in,NULL,NULL,NULL,NULL
18,"2025-12-08 14:54:25",2,478,158195,completed,2,Dine-in,NULL,NULL,NULL,NULL
19,"2025-12-07 10:01:06",6,369,257181,pending,5,Dine-in,NULL,NULL,NULL,NULL
20,"2025-12-03 19:22:16",11,1066,530909,pending,8,Dine-in,NULL,NULL,NULL,NULL
21,"2025-12-18 20:48:04",14,4170,573649,completed,2,Dine-in,NULL,NULL,NULL,NULL
22,"2025-11-27 11:53:31",9,2006,573656,pending,10,Dine-in,NULL,NULL,NULL,NULL
23,"2025-12-08 11:03:22",6,780,420675,canceled,4,Dine-in,NULL,NULL,NULL,NULL
24,"2025-11-30 21:36:21",8,514,427610,canceled,11,Dine-in,NULL,NULL,NULL,NULL
25,"2025-11-26 16:51:37",3,165,435582,completed,8,Dine-in,NULL,NULL,NULL,NULL
26,"2025-11-28 21:29:02",5,440,382204,completed,6,Dine-in,NULL,NULL,NULL,NULL
27,"2025-11-27 10:50:22",9,1540,460692,completed,10,Dine-in,NULL,NULL,NULL,NULL
28,"2025-12-13 15:44:45",3,240,368328,canceled,10,Dine-in,NULL,NULL,NULL,NULL
29,"2025-11-30 12:12:37",11,1930,530878,pending,4,Dine-in,NULL,NULL,NULL,NULL
30,"2025-12-18 15:48:52",5,477,171675,completed,9,Dine-in,NULL,NULL,NULL,NULL
31,"2025-12-03 20:26:28",5,1050,475283,completed,6,Dine-in,NULL,NULL,NULL,NULL
32,"2025-11-30 20:45:44",7,1003,421155,canceled,4,Dine-in,NULL,NULL,NULL,NULL
33,"2025-12-11 20:29:18",4,190,545273,completed,3,Dine-in,NULL,NULL,NULL,NULL
34,"2025-12-10 18:09:20",2,120,440811,pending,13,Dine-in,NULL,NULL,NULL,NULL
35,"2025-12-07 19:18:45",9,815,420586,canceled,7,Dine-in,NULL,NULL,NULL,NULL
36,"2025-12-10 20:05:46",1,100,448046,pending,5,Dine-in,NULL,NULL,NULL,NULL
37,"2025-12-16 20:32:35",1,70,187921,pending,6,Dine-in,NULL,NULL,NULL,NULL
38,"2025-12-04 20:25:36",7,231,551512,completed,16,Dine-in,NULL,NULL,NULL,NULL
39,"2025-12-13 18:30:18",7,828,351387,canceled,19,Dine-in,NULL,NULL,NULL,NULL
40,"2025-12-06 21:14:42",3,150,432675,pending,7,Dine-in,NULL,NULL,NULL,NULL
41,"2025-11-26 16:42:38",4,200,302868,canceled,12,Dine-in,NULL,NULL,NULL,NULL
42,"2025-12-10 21:49:01",3,210,567664,completed,18,Dine-in,NULL,NULL,NULL,NULL
43,"2025-12-09 12:57:15",6,285,440878,canceled,4,Dine-in,NULL,NULL,NULL,NULL
44,"2025-11-26 13:19:12",7,327,161396,completed,7,Dine-in,NULL,NULL,NULL,NULL
45,"2025-12-21 17:44:15",2,120,382249,canceled,11,Dine-in,NULL,NULL,NULL,NULL
46,"2025-12-07 14:43:40",7,869,161408,completed,3,Dine-in,NULL,NULL,NULL,NULL
47,"2025-11-23 10:25:36",5,390,432684,canceled,11,Dine-in,NULL,NULL,NULL,NULL
48,"2025-12-18 21:57:01",3,567,459776,completed,12,Dine-in,NULL,NULL,NULL,NULL
49,"2025-12-10 20:28:17",3,697,459775,canceled,2,Dine-in,NULL,NULL,NULL,NULL
50,"2025-12-03 14:30:23",8,885,420637,pending,12,Dine-in,NULL,NULL,NULL,NULL
51,"2025-12-03 13:07:05",5,390,420479,completed,17,Dine-in,NULL,NULL,NULL,NULL
52,"2025-11-27 12:04:18",7,620,427606,pending,9,Dine-in,NULL,NULL,NULL,NULL
53,"2025-12-11 11:00:14",7,1040,531363,pending,15,Dine-in,NULL,NULL,NULL,NULL
54,"2025-12-16 20:48:15",8,380,156592,canceled,8,Dine-in,NULL,NULL,NULL,NULL
55,"2025-12-19 13:00:35",10,595,373319,pending,13,Dine-in,NULL,NULL,NULL,NULL
56,"2025-11-23 16:38:12",7,190,508318,canceled,17,Dine-in,NULL,NULL,NULL,NULL
57,"2025-12-06 10:09:12",9,460,407243,completed,1,Dine-in,NULL,NULL,NULL,NULL
58,"2025-12-19 14:51:27",5,215,187915,canceled,3,Dine-in,NULL,NULL,NULL,NULL
59,"2025-12-04 21:49:40",11,2242,461724,canceled,1,Dine-in,NULL,NULL,NULL,NULL
60,"2025-12-11 18:33:59",2,70,156542,completed,8,Dine-in,NULL,NULL,NULL,NULL
61,"2025-12-04 17:20:57",8,588,161405,pending,6,Dine-in,NULL,NULL,NULL,NULL
62,"2025-12-10 21:02:47",9,1700,462070,completed,4,Dine-in,NULL,NULL,NULL,NULL
63,"2025-12-02 19:11:03",8,608,224008,completed,5,Dine-in,NULL,NULL,NULL,NULL
64,"2025-12-10 10:46:55",1,189,165533,completed,10,Dine-in,NULL,NULL,NULL,NULL
65,"2025-12-07 10:21:25",5,500,225827,completed,8,Dine-in,NULL,NULL,NULL,NULL
66,"2025-12-12 21:26:24",1,199,242943,completed,12,Dine-in,NULL,NULL,NULL,NULL
67,"2025-12-09 18:07:43",12,1000,186286,pending,12,Dine-in,NULL,NULL,NULL,NULL
68,"2025-12-16 16:19:24",1,250,166613,completed,6,Dine-in,NULL,NULL,NULL,NULL
69,"2025-11-23 17:13:53",7,390,500628,canceled,14,Dine-in,NULL,NULL,NULL,NULL
70,"2025-12-19 15:11:11",4,830,186289,canceled,12,Dine-in,NULL,NULL,NULL,NULL
71,"2025-12-21 14:14:17",4,1110,165532,pending,18,Dine-in,NULL,NULL,NULL,NULL
72,"2025-11-28 15:37:53",2,280,169281,canceled,11,Dine-in,NULL,NULL,NULL,NULL
73,"2025-11-29 13:26:36",5,539,408059,completed,2,Dine-in,NULL,NULL,NULL,NULL
74,"2025-12-05 10:19:21",5,345,529171,pending,15,Dine-in,NULL,NULL,NULL,NULL
75,"2025-12-19 13:16:56",9,435,517814,completed,8,Dine-in,NULL,NULL,NULL,NULL
76,"2025-12-12 13:26:40",2,210,167432,pending,15,Dine-in,NULL,NULL,NULL,NULL
77,"2025-11-29 17:22:33",10,780,166971,completed,9,Dine-in,NULL,NULL,NULL,NULL
78,"2025-12-11 12:32:44",1,100,516171,pending,3,Dine-in,NULL,NULL,NULL,NULL
79,"2025-12-14 12:36:03",9,1560,226299,pending,4,Dine-in,NULL,NULL,NULL,NULL
80,"2025-12-18 15:22:03",3,60,374706,canceled,11,Dine-in,NULL,NULL,NULL,NULL
